relattime,language,totalcommits,sloc,ageyear,contributor,hourprolog,sloclog,commitlog,durationlog,contrilog,category,dynamicstatic,strongweak
0.248087438,Java,334,3986,2.043066615,37,-0.605395226,3.600537294,2.523746467,0.310282527,1.568201724,static-strong,static,strong
0.109186635,Java,966,9355,4.030193319,73,-0.961830518,3.971043792,2.984977126,0.605325879,1.86332286,static-strong,static,strong
0.097407307,Java,679,44917,3.134875257,32,-1.011408463,4.652410742,2.831869774,0.496220264,1.505149978,static-strong,static,strong
0.002948011,JS,1565,12128,7.02395544,195,-2.5304709,4.083789188,3.194514342,0.846581748,2.290034611,dynamic-weak,dynamic,weak
0.064736545,JS,282,640,5.426575392,50,-1.188850483,2.806179974,2.450249108,0.734525841,1.698970004,dynamic-weak,dynamic,weak
0.02090093,JS,821,2067,3.15947129,127,-1.679834389,3.315340477,2.914343157,0.499614413,2.103803721,dynamic-weak,dynamic,weak
0.000878521,JS,7332,52574,4.058431295,270,-3.056247853,4.720771021,3.865222456,0.608358198,2.431363764,dynamic-weak,dynamic,weak
0.000650629,JS,6230,72342,4.12922055,166,-3.186666583,4.859390511,3.794488047,0.61586808,2.220108088,dynamic-weak,dynamic,weak
0.001143508,JS,10407,44981,2.393770608,423,-2.941760793,4.653029106,4.017325555,0.37908253,2.626340367,dynamic-weak,dynamic,weak
0.002422338,JS,2306,22970,4.190284336,207,-2.615765258,4.361160995,3.362859303,0.622243493,2.315970345,dynamic-weak,dynamic,weak
0.011577999,JS,1274,5426,3.672225148,97,-1.936366492,3.734479789,3.105169428,0.5649293,1.986771734,dynamic-weak,dynamic,weak
5.27E-05,JS,17181,1311821,2.47130173,464,-4.278189385,6.117874579,4.235048438,0.392925773,2.666517981,dynamic-weak,dynamic,weak
0.004024524,JS,1400,20788,1.307678884,253,-2.395285478,4.317812708,3.146128036,0.116501111,2.403120521,dynamic-weak,dynamic,weak
0.002464884,JS,3883,38416,5.225215599,289,-2.608203514,4.584512143,3.589167391,0.718104215,2.460897843,dynamic-weak,dynamic,weak
0.002051458,JS,6242,69624,6.71053678,414,-2.68793737,4.842758971,3.795323764,0.826757261,2.617000341,dynamic-weak,dynamic,weak
0.015139924,JS,3914,9930,3.009909626,432,-1.819876305,3.996949248,3.592620821,0.478553456,2.635483747,dynamic-weak,dynamic,weak
0.003264335,JS,5442,47998,2.74916686,433,-2.486205278,4.681223141,3.735758537,0.4392011,2.636487896,dynamic-weak,dynamic,weak
0.003820901,JS,5865,45155,2.58536034,96,-2.417834215,4.654705847,3.768268016,0.412521082,1.982271233,dynamic-weak,dynamic,weak
0.000823487,JS,8462,231582,7.431877668,441,-3.084343252,5.3647048,3.927473021,0.871098552,2.644438589,dynamic-weak,dynamic,weak
0.001450903,JS,3432,145404,6.267735147,414,-2.838361621,5.162576354,3.535547279,0.797110636,2.617000341,dynamic-weak,dynamic,weak
0.039616873,JS,1916,5785,5.993645126,208,-1.402119807,3.762303363,3.282395505,0.777691025,2.318063335,dynamic-weak,dynamic,weak
0.018956136,JS,2393,12355,7.715714924,220,-1.722250184,4.09184275,3.378942699,0.887376173,2.342422681,dynamic-weak,dynamic,weak
0.001356068,JS,18664,186241,5.367827386,345,-2.867718532,5.270075295,4.271004726,0.729798542,2.537819095,dynamic-weak,dynamic,weak
0.006171403,JS,6217,43172,8.202391525,261,-2.209616093,4.635202168,3.793580867,0.913940496,2.416640507,dynamic-weak,dynamic,weak
0.0127262,JS,3526,21381,4.012103749,151,-1.895301256,4.330028014,3.547282308,0.603372155,2.178976947,dynamic-weak,dynamic,weak
0.003578179,JS,14276,79525,6.02920589,390,-2.446337937,4.900503678,4.154606539,0.780260115,2.591064607,dynamic-weak,dynamic,weak
0.012617823,JS,6606,22786,5.201878376,211,-1.899015569,4.357668093,3.819938569,0.716160194,2.324282455,dynamic-weak,dynamic,weak
0.19218275,JS,1562,1513,7.379854552,213,-0.716285596,3.179838928,3.19368103,0.868047802,2.328379603,dynamic-weak,dynamic,weak
0.012992781,JS,762,24601,5.048211098,10,-1.886297882,4.390952761,2.881954971,0.703137507,1,dynamic-weak,dynamic,weak
0.005672744,JS,9664,71690,6.111743731,230,-2.246206815,4.85545858,3.985156921,0.786165136,2.361727836,dynamic-weak,dynamic,weak
0.00350845,JS,8520,116992,4.002284144,464,-2.454884708,5.068156165,3.930439595,0.602307918,2.666517981,dynamic-weak,dynamic,weak
0.072710453,JS,764,5995,0.853469618,130,-1.13840315,3.777789187,2.883093359,-0.068811934,2.113943352,dynamic-weak,dynamic,weak
0.001063562,JS,2825,517524,6.004636285,282,-2.973237188,5.713930495,3.451018452,0.778486706,2.450249108,dynamic-weak,dynamic,weak
0.002116707,JS,17369,299450,5.485041152,332,-2.674339254,5.476324317,4.239774815,0.73917989,2.521138084,dynamic-weak,dynamic,weak
0.004119864,JS,1660,174225,7.252035494,138,-2.38511712,5.241110473,3.220108088,0.860459921,2.139879086,dynamic-weak,dynamic,weak
0.068854327,JS,1308,13615,2.88124521,127,-1.162068762,4.134017646,3.116607744,0.459580221,2.103803721,dynamic-weak,dynamic,weak
0.074270405,JS,2892,14355,2.679676633,199,-1.129184208,4.157003197,3.461198289,0.428082389,2.298853076,dynamic-weak,dynamic,weak
0.572491026,JS,1194,5185,5.247109439,84,-0.242231317,3.714748761,3.077004327,0.719920122,1.924279286,dynamic-weak,dynamic,weak
0.005041363,Obj-C,70,2290,6.869663677,4,-2.29745203,3.359835482,1.84509804,0.836935476,0.602059991,static-weak,static,weak
0.001363787,Obj-C,189,9716,6.630129662,4,-2.865253454,3.987487506,2.276461804,0.821522022,0.602059991,static-weak,static,weak
0.001840907,Obj-C,445,7885,2.960782182,37,-2.734968151,3.896801698,2.648360011,0.471406459,1.568201724,static-weak,static,weak
