updatetime,language,totalcommits,sloc,ageyear,contributor,hourabslog,sloclog,commitlog,durationlog,contrilog,category,dynamicstatic,strongweak
21.07013889,Go,682,6288,1.393066133,80,1.323667398,3.798512533,2.833784375,0.143971734,1.903089987,static-strong,static,strong
25.1775,Go,2827,187837,3.283806456,204,1.401012605,5.273781143,3.451325808,0.516377552,2.309630167,static-strong,static,strong
27.29277778,Go,5214,307876,2.512590085,182,1.436047739,5.488375835,3.717171027,0.400121642,2.260071388,static-strong,static,strong
39.17805556,Go,1866,15686,3.737685249,33,1.593042878,4.195512211,3.270911639,0.572602727,1.51851394,static-strong,static,strong
40.67819444,Go,1019,43897,2.954765271,55,1.609361668,4.642434841,3.008174184,0.470522986,1.740362689,static-strong,static,strong
41.60680556,Go,1829,27340,2.337991802,149,1.619164373,4.43679851,3.262213705,0.368842984,2.173186268,static-strong,static,strong
42.03347222,Go,11263,352032,3.882181038,359,1.623595267,5.546582143,4.051654084,0.589075784,2.555094449,static-strong,static,strong
42.15888889,Go,3261,35770,3.888490676,458,1.624889156,4.55351894,3.513350799,0.589781062,2.660865478,static-strong,static,strong
43.80319444,Go,810,9062,3.418699396,98,1.641505783,3.957224058,2.908485019,0.533860915,1.991226076,static-strong,static,strong
46.48541667,Go,5573,634958,2.220802501,299,1.667316728,5.802744999,3.746089043,0.346509938,2.475671188,static-strong,static,strong
49.44722222,Go,4636,484932,1.684255658,107,1.694141899,5.685680844,3.666143427,0.226408015,2.029383778,static-strong,static,strong
50.16652778,Go,3823,721226,4.505643904,139,1.700414043,5.858071375,3.582404298,0.653756865,2.1430148,static-strong,static,strong
50.35861111,Go,7062,428279,3.874262924,114,1.702073744,5.63172678,3.848927713,0.58818909,2.056904851,static-strong,static,strong
51.13444444,Go,47122,1958917,2.951512217,409,1.708713542,6.292016035,4.673223715,0.470044585,2.611723308,static-strong,static,strong
52.49888889,Go,11913,115263,3.655263953,262,1.720150112,5.061689919,4.076021142,0.562918744,2.418301291,static-strong,static,strong
63.11277778,Go,18941,316609,3.287463767,124,1.800117295,5.500523256,4.277402904,0.516860975,2.093421685,static-strong,static,strong
64.53152778,Go,18394,1921297,3.187681713,411,1.809771947,6.283594505,4.264676182,0.503474951,2.613841822,static-strong,static,strong
69.435,Go,781,6413,2.923616094,95,1.84157844,3.80706124,2.892651034,0.465920344,1.977723605,static-strong,static,strong
71.60222222,Go,265,1877,4.277444219,31,1.854926501,3.273464273,2.423245874,0.631184355,1.491361694,static-strong,static,strong
73.35583333,Go,1060,5795,4.757847865,15,1.865434655,3.76305344,3.025305865,0.677410551,1.176091259,static-strong,static,strong
87.37986111,Go,4696,452995,3.270607382,335,1.94141135,5.656093408,3.671728088,0.514628413,2.525044807,static-strong,static,strong
93.28708333,Go,1174,249541,3.180054109,61,1.969821515,5.397141911,3.069668097,0.50243451,1.785329835,static-strong,static,strong
98.49194444,Go,32067,699947,4.352062211,468,1.993400711,5.845065156,4.506058332,0.638695095,2.670245853,static-strong,static,strong
111.3698611,Go,1051,165736,2.999142136,59,2.046767678,5.219416853,3.021602716,0.476997048,1.770852012,static-strong,static,strong
138.7740278,Go,7516,423558,4.175727141,420,2.142308194,5.626912889,3.875986771,0.620732112,2.62324929,static-strong,static,strong
189.7022222,Go,1350,7677,5.481461355,114,2.278072418,3.885191541,3.130333768,0.738896357,2.056904851,static-strong,static,strong
